Client 0,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,
TicketReq,,,,,,,,,,
,TicketReq,,,,,,,,,
,,TicketReq,,,,,,,,
,,,TicketReq,,,,,,,
,,,,TicketReq,,,,,,
,,,,,TicketReq,,,,,
,,,,,,TicketReq,,,,
,,,,,,,TicketReq,,,
,,,,,,,,TicketReq,,
,,,,,,,,,TicketReq,
,,,,,,,TicketRep,,,
,,,,,,,TicketCall,,,
,,,,,,,ticketAck,,,
,,,,,,,tableAssign,,,
,,,,,,,checkOut,,,
,,,,,TicketRep,,,,,
,,,,,TicketCall,,,,,
,,,,,ticketAck,,,,,
,,,,,tableAssign,,,,,
,,,,,checkOut,,,,,
,,,,,,,,,TicketRep,
,,,,,,,,,TicketCall,
,,,,,,,,,ticketAck,
,,,,,,,,,tableAssign,
,,,,,,,,,checkOut,
,,,,,,,,TicketRep,,
,,,,,,,,TicketCall,,
,,,,,,,,ticketAck,,
,,,,,,,,tableAssign,,
,,,,,,,,checkOut,,
,TicketRep,,,,,,,,,
,TicketCall,,,,,,,,,
,ticketAck,,,,,,,,,
,tableAssign,,,,,,,,,
,checkOut,,,,,,,,,
,,TicketRep,,,,,,,,
,,TicketCall,,,,,,,,
,,ticketAck,,,,,,,,
,,tableAssign,,,,,,,,
,,checkOut,,,,,,,,
,,,TicketRep,,,,,,,
,,,TicketCall,,,,,,,
,,,ticketAck,,,,,,,
,,,tableAssign,,,,,,,
,,,checkOut,,,,,,,
TicketRep,,,,,,,,,,
TicketCall,,,,,,,,,,
ticketAck,,,,,,,,,,
tableAssign,,,,,,,,,,
checkOut,,,,,,,,,,
,,,,,,TicketRep,,,,
,,,,,,TicketCall,,,,
,,,,,,ticketAck,,,,
,,,,,,tableAssign,,,,
,,,,,,checkOut,,,,
,,,,TicketRep,,,,,,
,,,,TicketCall,,,,,,
,,,,ticketAck,,,,,,
,,,,tableAssign,,,,,,
,,,,checkOut,,,,,,
