clientId,numPerson,cost,reqTime,checkOut
0000,5,529,44,5
0001,4,264,5,5
0002,4,103,29,2
0003,8,774,36,3
0004,8,742,13,2
0005,7,190,49,3
0006,5,855,33,4
0007,8,567,15,3
0008,2,357,36,1
0009,9,274,10,4
0010,2,731,47,5
0011,6,599,5,2
0012,2,812,13,2
0013,6,897,13,4
0014,6,198,12,4
0015,1,891,14,4
0016,4,741,31,2
0017,7,166,3,4
0018,5,962,22,1
0019,5,316,7,1
0020,2,583,50,4
0021,6,561,25,3
0022,3,462,28,1
0023,5,126,29,4
0024,5,892,5,1
0025,7,991,34,5
0026,10,994,3,2
0027,5,889,25,4
0028,7,465,36,2
0029,4,587,21,2
0030,6,741,46,4
0031,7,572,9,2
0032,10,915,13,3
0033,7,880,35,2
0034,7,74,8,4
0035,2,902,38,4
0036,6,669,37,4
0037,6,961,30,4
0038,8,165,26,5
0039,6,352,4,1
0040,10,181,45,2
0041,4,586,29,4
0042,6,829,19,3
0043,6,283,43,2
0044,9,606,49,4
0045,5,538,9,3
0046,8,937,21,3
0047,5,867,47,1
0048,4,923,41,3
0049,8,141,43,3
0050,10,504,36,5
0051,10,961,31,3
0052,2,106,33,1
0053,6,160,38,4
0054,2,283,35,5
0055,1,537,38,1
0056,4,710,17,3
0057,2,95,2,1
0058,8,785,8,4
0059,8,480,45,2
0060,1,623,16,1
0061,2,674,8,3
0062,2,759,24,5
0063,10,145,42,5
0064,8,368,28,3
0065,4,492,4,4
0066,5,159,8,3
0067,8,505,2,5
0068,3,545,26,3
0069,9,148,36,5
0070,4,947,43,1
0071,10,838,1,5
0072,10,228,9,3
0073,2,62,40,4
0074,2,228,12,5
0075,5,534,39,1
0076,8,258,46,3
0077,4,216,16,4
0078,7,717,34,5
0079,3,285,31,5
0080,3,281,3,5
0081,7,977,13,4
0082,7,816,46,5
0083,9,582,12,4
0084,3,827,28,3
0085,7,755,20,2
0086,9,499,28,2
0087,10,710,45,4
0088,10,463,21,4
0089,3,104,23,4
0090,7,773,37,5
0091,6,112,44,4
0092,7,467,7,4
0093,4,353,5,5
0094,2,72,28,4
0095,2,890,30,4
0096,1,295,30,4
0097,3,565,6,4
0098,1,122,30,2
0099,10,909,14,1
0100,8,541,5,5
0101,1,293,29,1
0102,7,192,48,2
0103,9,666,15,4
0104,8,292,37,1
0105,6,469,29,1
0106,2,210,11,3
0107,2,974,40,3
0108,10,716,31,5
0109,5,840,19,4
0110,8,245,21,4
0111,2,162,1,3
0112,6,115,4,1
0113,6,151,1,1
0114,7,525,31,4
0115,6,127,19,2
0116,7,767,39,4
0117,5,703,21,5
0118,9,993,1,2
0119,1,749,45,2
0120,4,204,44,4
0121,6,765,28,1
